ORF,Name,Allele,StrainID,Penetrance_bin
YLR078C,BOS1,bos1-1,tsa199,3
YOR046C,DBP5,dbp5-1,tsa641,3
YOR212W,STE4,ste4,tsa195,3
YPL217C,BMS1,bms1-1,tsa678,3
YMR049C,ERB1,erb1-5001,tsa1102,3
YKL013C,ARC19,arc19-5001,tsa1269,3
YJL174W,KRE9,kre9-5001,tsa1267,3
YGR119C,NUP57,nup57-e17,tsa954,3
YGL234W,"ADE5,7","ade5,7",tsa310,3
YGL233W,SEC15,sec15-1,tsa40,2
YNL138W,SRV2,srv2-ts,tsa675,2
YLR195C,NMT1,nmt1-181,tsa690,2
YFR031C,SMC2,smc2-8,tsa522,2
YPL076W,GPI2,gpi2-1-7b,tsa462,2
YBR135W,CKS1,cks1-38,tsa332,2
YKL006C-A,SFT1,sft1-15,tsa619,2
YDR172W,SUP35,sup35-td,tsa28,2
YDR189W,SLY1,sly1-ts,tsa251,2
YER171W,RAD3,rad3-ts14,tsa588,2
YLR071C,RGR1,rgr1-100,tsa908,2
YPL190C,NAB3,nab3-11,tsa861,2
YGL137W,SEC27,sec27-1,tsa546,2
YIL068C,SEC6,sec6-4,tsa38,2
YDL145C,COP1,cop1-1,tsa704,2
YGL065C,ALG2,alg2-1,tsa461,1
YLR305C,STT4,stt4-4,tsa123,1
YGL073W,HSF1,hsf1-848,tsa423,1
YML126C,ERG13,erg13-5001,tsa1104,1
YER090W,TRP2,trp2,tsa211,1
YML015C,TAF11,taf11-ts2,tsa645,1
YMR236W,TAF9,taf9-ts2,tsa730,1
YLR440C,SEC39,sec39-1,tsa725,1
YBR080C,SEC18,sec18-1,tsa54,1
YOR329C,SCD5,scd5-d338,tsa569,1
YBR070C,ALG14,alg14-5001,tsa1061,1
YNL287W,SEC21,sec21-1,tsa46,1
YIL048W,NEO1,neo1-2,tsa188,1
YDR238C,SEC26,sec26-f856aw860a,tsa721,0
YJR068W,RFC2,rfc2-1,tsa342,0
