ORF,Name,Allele,StrainID,Plate,Row,Column,Time,Num_cells,Penetrance,P-value
YOR202W,HIS3,his3,tsa101,1,1,10,6,11,81.81818181818183,4.078923687700353e-08
YOR212W,STE4,ste4,tsa195,1,2,5,6,738,47.15447154471545,9.2148511043888e-12
YGR185C,TYS1,tys1-1,tsa290,1,2,4,6,1591,40.41483343808925,3.7311598255485023e-11
YKR002W,PAP1,pap1-1,tsa194,1,2,3,6,1314,36.986301369863014,3.6736169661821805e-11
YER012W,PRE1,pre1-1,tsa289,1,2,2,6,1649,35.657974530018194,3.066780163152316e-11
YOR202W,HIS3,his3,tsa102,1,1,12,6,99,34.34343434343434,2.113993808894321e-07
YOR202W,HIS3,his3,tsa2,1,1,3,6,215,33.48837209302326,1.797517690249606e-11
YOR202W,HIS3,his3,tsa4,1,1,7,6,760,27.631578947368425,0.0
YOR202W,HIS3,his3,tsa3,1,1,5,6,703,26.173541963015644,7.248646127777647e-13
YOR202W,HIS3,his3,tsa5,1,1,9,6,1294,24.26584234930448,0.0
YOR202W,HIS3,his3,tsa6,1,1,11,6,514,21.595330739299612,6.023107520292115e-06
YOR202W,HIS3,his3,tsa193,1,2,1,6,1861,19.39817302525524,1.8410970525906123e-09
YOR202W,HIS3,his3,tsa1,1,1,1,6,1022,18.395303326810176,0.0002623629329508992
YOR202W,HIS3,his3,tsa10,1,1,19,6,2444,17.594108019639933,6.92678037073069e-06
YOR202W,HIS3,his3,tsa12,1,1,23,6,2475,17.252525252525253,4.895402962679096e-05
YOR202W,HIS3,his3,tsa7,1,1,13,6,1673,16.855947399880456,0.0032961703140129694
YOR202W,HIS3,his3,tsa99,1,1,6,6,483,15.527950310559005,0.24947538316094087
YOR202W,HIS3,his3,tsa9,1,1,17,6,1609,15.040397762585457,0.276502194699062
YOR202W,HIS3,his3,tsa8,1,1,15,6,2089,13.30780277644806,0.9525326491323081
YOR202W,HIS3,his3,tsa11,1,1,21,6,1684,11.935866983372922,0.9992721594184084
YOR202W,HIS3,his3,tsa98,1,1,4,6,930,11.505376344086022,0.9966372150972582
YOR202W,HIS3,his3,tsa100,1,1,8,6,331,10.574018126888216,0.9800451988386971
YOR202W,HIS3,his3,tsa108,1,1,24,6,1459,10.41809458533242,0.9999989858347746
YOR202W,HIS3,his3,tsa105,1,1,18,6,1814,10.088202866593164,0.9999999964231722
YOR202W,HIS3,his3,tsa97,1,1,2,6,1813,9.156094870380585,0.9999999999992676
YOR202W,HIS3,his3,tsa104,1,1,16,6,1809,8.678828081813156,0.9999999999999952
YOR202W,HIS3,his3,tsa107,1,1,22,6,1391,8.339324227174695,0.9999999999995952
YOR202W,HIS3,his3,tsa106,1,1,20,6,1093,7.77676120768527,0.9999999999979647
YOR202W,HIS3,his3,tsa103,1,1,14,6,1534,7.3663624511082135,1.0
